data,price,ClusterLabels,year,month,plotDate
2022-02-15,8500,1,2022,2,2
2022-02-15,13000,0,2022,2,2
2022-02-15,15799,0,2022,2,2
2022-02-15,10000,1,2022,2,2
2022-02-15,11000,0,2022,2,2
2022-02-15,9700,0,2022,2,2
2022-02-15,7999,1,2022,2,2
2022-02-15,15000,0,2022,2,2
2022-02-15,8800,0,2022,2,2
2022-02-15,20490,0,2022,2,2
2022-02-15,7000,1,2022,2,2
2022-02-15,8000,1,2022,2,2
2022-02-15,15000,1,2022,2,2
2022-02-15,8500,1,2022,2,2
2022-02-15,7200,1,2022,2,2
2022-02-15,6900,1,2022,2,2
2022-02-15,6800,0,2022,2,2
2022-02-15,14300,0,2022,2,2
2022-02-15,18900,0,2022,2,2
2022-02-15,15500,0,2022,2,2
2022-02-15,7800,1,2022,2,2
2022-02-15,13000,0,2022,2,2
2022-02-15,9900,1,2022,2,2
2022-02-15,12500,0,2022,2,2
2022-02-15,14000,0,2022,2,2
2022-02-15,9200,0,2022,2,2
2022-02-15,8500,1,2022,2,2
2022-02-15,6000,1,2022,2,2
2022-02-15,9900,0,2022,2,2
2022-02-15,19800,0,2022,2,2
2022-02-15,13900,0,2022,2,2
2022-02-15,14790,0,2022,2,2
2022-02-15,7500,1,2022,2,2
2022-02-15,11900,1,2022,2,2
2022-02-15,6950,1,2022,2,2
2022-02-15,8000,1,2022,2,2
2022-02-15,11800,0,2022,2,2
2022-02-15,4250,0,2022,2,2
2022-02-15,9500,0,2022,2,2
2022-02-15,23950,0,2022,2,2
2022-02-15,13700,0,2022,2,2
2022-02-15,9300,1,2022,2,2
2022-02-15,12500,0,2022,2,2
2022-02-15,9800,0,2022,2,2
2022-02-15,7500,0,2022,2,2
2022-02-15,15900,0,2022,2,2
2022-02-15,15000,0,2022,2,2
2022-02-15,8000,0,2022,2,2
2022-02-15,10500,1,2022,2,2
2022-02-15,10800,1,2022,2,2
2022-02-15,6000,1,2022,2,2
2022-02-15,17000,0,2022,2,2
2022-02-15,11490,0,2022,2,2
2022-02-15,6300,1,2022,2,2
2022-02-15,9700,1,2022,2,2
2022-02-15,7000,1,2022,2,2
2022-02-15,9500,0,2022,2,2
2022-02-15,12750,0,2022,2,2
2022-02-15,7200,1,2022,2,2
2022-02-15,7800,1,2022,2,2
2022-02-15,15500,0,2022,2,2
2022-02-15,6500,1,2022,2,2
2022-02-15,11800,1,2022,2,2
2022-02-15,5500,1,2022,2,2
2022-02-15,8850,1,2022,2,2
2022-02-15,6590,1,2022,2,2
2022-02-15,4500,1,2022,2,2
2022-02-15,8300,1,2022,2,2
2022-02-15,8900,1,2022,2,2
2022-02-15,8000,0,2022,2,2
2022-02-15,11900,0,2022,2,2
2022-02-15,9000,0,2022,2,2
2022-02-15,14500,0,2022,2,2
2022-02-15,9000,1,2022,2,2
2022-02-15,9900,1,2022,2,2
2022-02-15,10000,1,2022,2,2
2022-02-15,13000,1,2022,2,2
2022-02-15,16120,0,2022,2,2
2022-02-15,16900,0,2022,2,2
2022-02-15,7000,1,2022,2,2
2022-02-15,6299,0,2022,2,2
2022-02-15,8300,1,2022,2,2
2022-02-15,19950,0,2022,2,2
2022-02-15,10800,0,2022,2,2
2022-02-15,16000,0,2022,2,2
2022-02-15,16800,0,2022,2,2
2022-02-15,15700,0,2022,2,2
2022-02-15,8390,1,2022,2,2
2022-02-15,13900,0,2022,2,2
2022-02-15,8000,1,2022,2,2
2022-02-15,15900,0,2022,2,2
2022-02-15,16500,0,2022,2,2
2022-02-15,11999,0,2022,2,2
2022-02-15,7350,1,2022,2,2
2022-02-15,9000,0,2022,2,2
2022-02-15,12300,0,2022,2,2
2022-02-15,8350,1,2022,2,2
2022-02-15,16900,0,2022,2,2
2022-02-15,7499,1,2022,2,2
2022-02-15,18650,0,2022,2,2
2022-02-15,14900,0,2022,2,2
2022-02-15,13000,1,2022,2,2
2022-02-15,11300,1,2022,2,2
2022-02-15,10800,1,2022,2,2
2022-02-15,13500,0,2022,2,2
2022-02-15,10900,1,2022,2,2
2022-02-15,7300,1,2022,2,2
2022-02-15,19600,0,2022,2,2
2022-02-15,10500,0,2022,2,2
2022-02-15,13900,0,2022,2,2
2022-02-15,9000,1,2022,2,2
2022-02-15,11500,0,2022,2,2
2022-02-15,5800,1,2022,2,2
2022-02-15,9500,0,2022,2,2
2022-02-15,8500,1,2022,2,2
2022-02-15,15800,0,2022,2,2
2022-02-15,6900,1,2022,2,2
2022-02-15,7000,1,2022,2,2
2022-02-15,13000,1,2022,2,2
2022-02-15,14850,0,2022,2,2
2022-02-15,9500,1,2022,2,2
2022-02-15,6800,1,2022,2,2
2022-02-15,6200,1,2022,2,2
2022-02-15,7999,1,2022,2,2
2022-02-15,9500,1,2022,2,2
2022-02-15,11000,0,2022,2,2
2022-02-15,11000,1,2022,2,2
2022-02-15,16500,0,2022,2,2
